,bin,lat,lon,cluster,ОКЭД,Наименование основного вида деятельности,Наименование КРП,Юридическая форма,mean,count,sum
5643,740706350523,77.003712,52.294049,89215902183ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (6 - 10),ИП,1048.6707317073171,164.0,171982.0
5644,740720450427,76.94825,52.269295,89215902633ffff,56299.0,"Прочая деятельность по обеспечению питанием, не включенная в другие группировки",Малые предприятия (<= 5),ИП,11250.0,8.0,90000.0
5645,740817450117,77.012264,52.303908,89215915257ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,20853.285714285717,7.0,145973.0
5646,740818401253,76.96768,52.289169,8921590255bffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (<= 5),ИП,24347.5,4.0,97390.0
5647,740823450030,76.960323,52.280652,8921590246fffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,4283.076923076923,13.0,55680.0
5648,740831350068,76.939851,52.296798,8921590248fffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,7775.261538461538,65.0,505392.0
5649,740905300836,76.978352,52.267261,8921590207bffff,81100.0,Комплексное обслуживание объектов,Малые предприятия (16-20),ИП,9333.0,2.0,18666.0
5650,740922301212,76.996445,52.287511,892159021d7ffff,77391.0,"Аренда прочих машин, оборудования и материальных активов, не включенных в другие группировки",Малые предприятия (<= 5),ИП,,,
5651,741009350081,76.951664,52.296809,892159024abffff,47711.0,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,6512.448979591837,49.0,319110.0
5652,741013300027,76.962955,52.281655,8921590209bffff,95220.0,"Ремонт бытовых приборов, домашнего и садового оборудования",Малые предприятия (6 - 10),ИП,8000.0,4.0,32000.0
5653,741120450091,76.976295,52.25858,892159022abffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2192.0,25.0,54800.0
5654,741215450434,76.952032,52.292309,89215902407ffff,47711.0,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,9996.875,32.0,319900.0
5655,750103450167,76.975604,52.263662,892159022b3ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,1266.6666666666667,33.0,41800.0
5656,750106350305,76.968264,52.285522,89215902083ffff,47822.0,"Розничная торговля одеждой, обувью и текстильными изделиями на рынках",Малые предприятия (<= 5),ИП,73500.0,8.0,588000.0
5657,750118350102,76.938548,52.295581,8921590248bffff,56300.0,Подача напитков,Малые предприятия (<= 5),ИП,46698.514925373136,134.0,6257601.0
5658,750120300117,76.959021,52.296809,892159024afffff,47892.0,Розничная торговля прочими товарами на рынках,Малые предприятия (<= 5),ИП,6801.587301587301,63.0,428500.0
5659,750129450189,76.955904,52.279561,892159020d3ffff,17290.0,Производство прочих изделий из бумаги и картона,Малые предприятия (6 - 10),ИП,5976.428571428572,14.0,83670.0
5660,750201300058,76.967285,52.279671,8921590208bffff,10710.0,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения,Малые предприятия (6 - 10),ИП,975.5925925925926,891.0,869253.0
