,cluster,bin
575,89215382e87ffff,2
576,89215382e8bffff,13
577,89215382e8fffff,11
578,89215382e93ffff,17
579,89215382e9bffff,1
580,89215382ea3ffff,7
581,89215382ea7ffff,14
582,89215382eabffff,6
583,89215382eafffff,22
584,89215382eb3ffff,27
585,89215382eb7ffff,7
586,89215382ebbffff,13
587,89215382ec3ffff,18
588,89215382ec7ffff,8
589,89215382ecbffff,8
590,89215382ecfffff,23
591,89215382ed3ffff,6
592,89215382ed7ffff,27
593,89215382edbffff,3
594,8921538306bffff,1
595,89215383077ffff,111
596,89215383103ffff,3
597,8921538310bffff,6
598,8921538310fffff,1
599,89215383113ffff,3
600,89215383127ffff,1
601,8921538312bffff,4
602,8921538312fffff,8
603,89215383137ffff,1
604,8921538313bffff,1
605,89215383147ffff,5
606,8921538314bffff,5
607,8921538314fffff,1
608,89215383153ffff,2
609,89215383163ffff,11
610,89215383167ffff,8
611,8921538316bffff,5
612,8921538316fffff,3
613,89215383173ffff,15
614,89215383177ffff,2
615,8921538317bffff,12
616,89215383183ffff,3
617,89215383187ffff,2
618,892153831a3ffff,7
619,892153831a7ffff,9
620,892153831b7ffff,6
621,892153831bbffff,1
622,892153831cfffff,3
623,892153832a7ffff,2
624,89215383307ffff,1
625,89215383327ffff,4
626,89215383333ffff,1
627,89215383353ffff,2
628,89215383357ffff,1
629,8921538338fffff,3
630,892153833a3ffff,91
631,892153833a7ffff,1
632,892153833abffff,1
633,892153833b3ffff,1
634,892153833b7ffff,2
635,892153833cbffff,1
636,89215383523ffff,2
637,8921538352fffff,1
638,89215383587ffff,1
639,89215383593ffff,2
640,89215383597ffff,2
641,892153835b7ffff,8
642,8921538700bffff,1
643,89215387057ffff,1
644,89215387643ffff,1
645,8921538764bffff,7
646,8921538764fffff,4
647,89215387653ffff,90
648,8921538765bffff,1
649,89215390803ffff,1
650,89215390807ffff,1
651,8921539080fffff,1
652,89215390823ffff,2
653,89215390827ffff,6
654,89215390833ffff,1
655,89215390837ffff,3
656,8921539083bffff,4
657,89215390843ffff,3
658,89215390847ffff,9
659,8921539084bffff,1
660,8921539084fffff,13
661,89215390857ffff,1
662,8921539085bffff,1
663,89215390867ffff,1
664,89215390873ffff,1
665,89215390877ffff,2
666,892153908a7ffff,3
667,892153908abffff,12
668,892153908b3ffff,2
669,892153908b7ffff,4
670,892153908c3ffff,1
671,892153908cbffff,2
672,892153908cfffff,2
673,892153908dbffff,3
674,89215390907ffff,1
675,89215390917ffff,1
676,8921539091bffff,1
677,8921539092bffff,1
678,8921539093bffff,1
