,cluster,sum
467,89215382a7bffff,56286975.04
468,89215382a83ffff,1848011.98
469,89215382a87ffff,700865.0
470,89215382a8bffff,417568.0
471,89215382a93ffff,671336.0
472,89215382a9bffff,2370780.0
473,89215382aa3ffff,1746915828.0
474,89215382aa7ffff,2143000.0
475,89215382aabffff,6397000.0
476,89215382aafffff,77000.0
477,89215382ab7ffff,702175.0
478,89215382ac3ffff,1956932.0
479,89215382ac7ffff,62818685.42
480,89215382acbffff,309080.0
481,89215382acfffff,952254.0
482,89215382ad3ffff,182000.0
483,89215382ad7ffff,1226780.0
484,89215382adbffff,4363958.0
485,89215382b13ffff,85026394.0
486,89215382b1bffff,2369080.0
487,89215382b27ffff,244196.0
488,89215382b2fffff,109980.0
489,89215382b43ffff,213662911.0
490,89215382b4fffff,55499429.879999995
491,89215382b53ffff,1449562.0
492,89215382b57ffff,725539.0
493,89215382b5bffff,2687050.0
494,89215382b6fffff,1050800.0
495,89215382b8bffff,606665.0
496,89215382bc3ffff,348550138.8
497,89215382bcbffff,60270.0
498,89215382bcfffff,1121700.0
499,89215382bd3ffff,18350397.0
500,89215382bd7ffff,38798065.0
501,89215382bdbffff,520965.0
502,89215382c07ffff,503900.0
503,89215382c0bffff,13374225.0
504,89215382c0fffff,4558469.0
505,89215382c17ffff,122441659.0
506,89215382c1bffff,43724903.0
507,89215382c2bffff,1251718.0
508,89215382c37ffff,0.0
509,89215382c3bffff,4875836.0
510,89215382c43ffff,125677265.30999994
511,89215382c47ffff,228315578.0
512,89215382c4bffff,18107371.84
513,89215382c4fffff,59887.0
514,89215382c53ffff,11048105.0
515,89215382c57ffff,72216547.03999999
516,89215382c5bffff,906618.0
517,89215382c67ffff,1792150.0
518,89215382c6bffff,277455.0
519,89215382c6fffff,1304000.0
520,89215382c7bffff,184686399.0
521,89215382c83ffff,7494394.0
522,89215382c87ffff,14380010.01
523,89215382c8bffff,8979844.8
524,89215382c8fffff,11601608.0
525,89215382c93ffff,378008156.530241
526,89215382c97ffff,0.0
527,89215382c9bffff,2118440.0
528,89215382ca3ffff,231676388.4300057
529,89215382cabffff,132890.0
530,89215382cafffff,973000.0
531,89215382cbbffff,575315.0
532,89215382cc3ffff,35241779.16
533,89215382cc7ffff,6055997.0
534,89215382ccbffff,4937888.0
535,89215382ccfffff,4249794.0
536,89215382cd3ffff,3245646.0
537,89215382cd7ffff,33258818.68000005
538,89215382cdbffff,16514730.0
539,89215382d0fffff,1039104.0
540,89215382d8bffff,6334475.0
541,89215382d97ffff,1408910.0
542,89215382d9bffff,3872491.2800000003
543,89215382dc3ffff,2632442.0
544,89215382dcbffff,312446.0
545,89215382dd3ffff,53535115.0
546,89215382dd7ffff,8686939.0
547,89215382ddbffff,151900154.42000002
548,89215382e03ffff,494519278.93
549,89215382e07ffff,144851299.64000002
550,89215382e0bffff,66963398.86
551,89215382e0fffff,114582938.49000001
552,89215382e13ffff,13070808.0
553,89215382e17ffff,9540571.0
554,89215382e1bffff,35396323.5
555,89215382e27ffff,1697712.0
556,89215382e2bffff,12172328.0
557,89215382e2fffff,20280651.0
558,89215382e33ffff,1977360617.0
559,89215382e37ffff,11024786.0
560,89215382e3bffff,21152637.0
561,89215382e43ffff,132447056.0
562,89215382e47ffff,22995373.0
563,89215382e4bffff,420663471.62
564,89215382e4fffff,406455523.9
565,89215382e53ffff,94057995.23999998
566,89215382e57ffff,19376742.28
567,89215382e5bffff,47299242.0
568,89215382e63ffff,21008861.0
569,89215382e67ffff,306468.0
570,89215382e6fffff,4003385.0
571,89215382e73ffff,2038177.0
572,89215382e77ffff,1341138.0
573,89215382e7bffff,47199289.0
574,89215382e83ffff,24322265.0
575,89215382e87ffff,375446.0
576,89215382e8bffff,65600452.77
577,89215382e8fffff,45223422.0
578,89215382e93ffff,16111372.0
579,89215382e9bffff,3030949.0
580,89215382ea3ffff,4169754.0
581,89215382ea7ffff,15792734.0
582,89215382eabffff,606809.0
583,89215382eafffff,711922343.0
584,89215382eb3ffff,79712932.53
585,89215382eb7ffff,11050334.9
586,89215382ebbffff,38773036.0
587,89215382ec3ffff,16107544.93
588,89215382ec7ffff,3661349.41
589,89215382ecbffff,8877959.96
590,89215382ecfffff,71362288.0
591,89215382ed3ffff,3522217.0
592,89215382ed7ffff,28893346.0
593,89215382edbffff,1325653.0
594,8921538306bffff,1291000.0
595,89215383077ffff,238332390.61
596,89215383103ffff,1617242.999999993
597,8921538310bffff,1314788.47
